SampleID	EUKfrac	CRUISE	STATION	TYPE	time	lon	lat	bottom_depth	depth	Temperature	Salinity	CAST_TYPE	CAST_NO	NISKIN	comments
P16N-S04-N01	0.00775224	P16N	4	B	20060215T20:39	-151.0009	-14.0002	4286	1009.3	4.1326	34.5166	TRACE METALS	3	1	TM1/DNA8
P16N-S04-N02	0.02724576	P16N	4	B	20060215T20:47	-151.0009	-14.0002	4286	708.3	5.5264	34.4619	TRACE METALS	3	2	TM2/DNA7
P16N-S04-N04	0.02243989	P16N	4	B	20060215T20:57	-151.0009	-14.0002	4286	256.5	19.3434	35.626	TRACE METALS	3	4	TM4/DNA6
P16N-S04-N05	0.02143735	P16N	4	B	20060215T20:59	-151.0009	-14.0002	4286	204.7	22.6075	36.1251	TRACE METALS	3	5	TM5/DNA5
P16N-S04-N06	0.02350207	P16N	4	B	20060215T21:01	-151.0009	-14.0002	4286	157.2	24.9995	36.3531	TRACE METALS	3	6	TM6/DNA4
P16N-S04-N08	0.01457887	P16N	4	B	20060215T21:02	-151.0009	-14.0002	4286	104.2	27.9785	36.2407	TRACE METALS	3	8	TM8/DNA3
P16N-S04-N11	0.00844153	P16N	4	B	20060215T21:04	-151.0009	-14.0002	4286	42.8	29.0668	36.1417	TRACE METALS	3	11	TM11/DNA2
P16N-S04-N12	0.01184275	P16N	4	B	20060215T21:05	-151.0009	-14.0001	4286	23.6	29.1665	36.1183	TRACE METALS	3	12	TM12/DNA1
P16N-S08-N03	0.01091506	P16N	8	B	20060217T07:37	-151.0008	-10	4649	504.9	7.5063	34.5843	TRACE METALS	1	3	
P16N-S08-N04	0.01838687	P16N	8	B	20060217T07:43	-151.0008	-10	4646	252.6	16.4869	35.2401	TRACE METALS	1	4	
